code,name,type,state
1817,凱撒衛,,上市
1902,台紙,,上市
1903,士紙,,上市
1904,正隆,,上市
1905,華紙,,上市
1906,寶隆,,上市
1907,永豐餘,,上市
1909,榮成,,上市
2002,中鋼,,上市
2006,東和鋼鐵,,上市
2007,燁興,,上市
2008,高興昌,,上市
2009,第一銅,,上市
2010,春源,,上市
2012,春雨,,上市
2013,中鋼構,,上市
2014,中鴻,,上市
2015,豐興,,上市
2017,官田鋼,,上市
2020,美亞,,上市
2022,聚亨,,上市
2023,燁輝,,上市
2024,志聯,,上市
2025,千興,,上市
2027,大成鋼,,上市
2028,威致,,上市
2029,盛餘,,上市
2030,彰源,,上市
2031,新光鋼,,上市
2032,新鋼,,上市
2033,佳大,,上市
2034,允強,,上市
2035,唐榮,,上櫃
2038,海光,,上市
2049,上銀,,上市
2059,川湖,,上市
2061,風青,,上櫃
2062,橋椿,,上市
2063,世鎧,,上櫃
2064,晉椿,,上櫃
2065,世豐,,上市
2066,世德,,上市
2067,嘉鋼,,上市
2069,運錩,,上市
2070,精湛,,上市
2071,震南鐵,,上市
2101,南港,,上市
2102,泰豐,,上市
2103,台橡,,上市
2104,國際中橡,,上市
2105,正新,,上市
2106,建大,,上市
2107,厚生,,上市
2108,南帝,,上市
2109,華豐,,上市
2114,鑫永銓,,上市
2115,六暉-KY,,上櫃
2201,裕隆,,上市
2204,中華,,上市
2206,三陽,,上櫃
2207,和泰車,,上市
2208,台船,,上櫃
2221,大甲,,上市
2227,裕日車,,上市
2228,劍麟,,上市
2230,泰茂,,上市
2231,為升,,上市
2233,宇隆,,上市
2235,謚源,,上市
2236,百達-KY,,上市
2237,華德動能,,上市
2239,英利-KY,,上市
2241,艾姆勒,,上市
2243,宏旭-KY,,上市
2245,詠勝昌,,上市
2246,凱勝綠能,,上市
2247,汎德永業,,上市
2248,華勝-KY,,上市
2301,光寶科,,上市
2302,麗正,,上市
2303,聯電,,上市
2305,全友,,上市
2308,台達電,,上市
2312,金寶,,上市
2313,華通,,上市
2314,台揚,,上市
2316,楠梓電,,上市
2317,鴻海,,上市
2321,東訊,,上市
2323,中環,,上市
2324,仁寶,,上市
2327,國巨,,上市
2328,廣宇,,上市
2329,華泰,,上市
2330,台積電,其他電子,上市
2331,精英,,上市
2332,友訊,,上市
2337,旺宏,,上市
2338,光罩,,上市
2340,光磊,,上市
2342,茂矽,,上市
2344,華邦電,,上市
2345,智邦,,上市
2347,聯強,,上市
2348,海悅,,上市
2349,錸德,,上市
2351,順德,,上市
2352,佳世達,,上市
2353,宏碁,,上市
2354,鴻準,,上市
2355,敬鵬,,上市
2356,英業達,,上市
2357,華碩,,上市
2358,廷鑫,,上市
2359,所羅門,,上市
2360,致茂,,上市
2362,藍天,,上市
2363,矽統,,上市
2364,倫飛,,上市
2365,昆盈,,上市
2367,燿華,,上市
2368,金像電,,上市
2369,菱生,,上市
2371,大同,,上市
2373,震旦行,,上市
2374,佳能,,上市
2375,凱美,,上市
2376,技嘉,,上市
2377,微星,,上市
2379,瑞昱,,上市
2380,虹光,,上市
2382,廣達,,上市
2383,台光電,,上市
2385,群光,,上市
2387,精元,,上市
2388,威盛,,上市
2390,云辰,,上市
2392,正崴,,上市
2393,億光,,上市
2395,研華,,上市
2397,友通,,上市
2399,映泰,,上市
